epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.959144,3.31521,6.94255,2.89634,0,0,0,0,5.34836,6.07459,4.91224,0,0,0
2,1.85083,4.37743,6.80416,3.41801,0,0,0,0,5.28945,5.77188,4.82376,1.9802e-05,1.9802e-05,1.9802e-05
3,2.72892,3.78599,6.43021,2.87757,0,0,0,0,5.098,5.5361,4.56449,3.9208e-05,3.9208e-05,3.9208e-05
4,3.63024,3.72154,7.13224,3.15427,0,0,0,0,4.6454,6.00473,4.09125,5.8218e-05,5.8218e-05,5.8218e-05
5,4.50015,3.28014,7.32667,2.55403,0,0,0,0,3.77361,6.3508,3.51068,7.6832e-05,7.6832e-05,7.6832e-05
6,5.35386,2.95511,4.91784,2.44478,0,0,0,0,3.31,6.04654,3.1947,9.505e-05,9.505e-05,9.505e-05
7,6.20149,2.97281,5.18304,2.49029,0,0,0,0,2.94255,5.27557,2.93523,0.000112872,0.000112872,0.000112872
8,7.0466,2.80248,5.62099,2.34375,0,0,0,0,2.7327,4.91475,2.71041,0.000130298,0.000130298,0.000130298
9,7.87973,3.10592,6.00116,2.42929,0.00333,1,0.00524,0.00105,2.57773,4.41933,2.36733,0.000147328,0.000147328,0.000147328
10,8.72685,1.60644,4.23271,1.54652,0.00333,1,0.00701,0.0028,2.46623,4.1319,2.14523,0.000163962,0.000163962,0.000163962
11,9.55433,2.02141,4.04876,1.78446,0.00333,1,0.01144,0.00457,2.50797,4.14006,1.95272,0.0001802,0.0001802,0.0001802
12,10.4196,2.17723,4.27792,1.85682,0.00333,1,0.01199,0.00703,2.19253,4.36696,1.82592,0.000196042,0.000196042,0.000196042
13,11.3152,2.73459,4.95701,2.08694,0.00333,1,0.995,0.30129,1.84891,4.56812,1.68352,0.000211488,0.000211488,0.000211488
14,12.1652,1.94559,4.34069,1.82844,0.00333,1,0.995,0.4975,2.13252,3.94338,1.81633,0.000226538,0.000226538,0.000226538
15,13.0408,2.61989,4.60106,2.04789,0.00333,1,0.995,0.597,2.23548,4.2469,1.83332,0.000241192,0.000241192,0.000241192
16,13.9159,2.02945,4.29372,1.68589,0.00333,1,0.995,0.4975,2.36084,4.07649,1.83607,0.00025545,0.00025545,0.00025545
17,14.7794,2.19057,4.59851,1.63786,0.00333,1,0.995,0.398,2.4533,3.878,1.82702,0.000269312,0.000269312,0.000269312
18,15.634,2.29546,9.24427,1.98214,0.00333,1,0.995,0.398,2.4533,3.878,1.82702,0.000282778,0.000282778,0.000282778
19,16.5102,2.21089,3.86061,1.72869,0.00333,1,0.995,0.20126,2.25058,3.70343,1.67356,0.000295848,0.000295848,0.000295848
20,17.3744,2.18191,3.85279,1.81189,0.00333,1,0.995,0.20126,2.25058,3.70343,1.67356,0.000308522,0.000308522,0.000308522
21,18.2408,1.89441,3.70409,1.67992,0.00333,1,0.995,0.30073,2.15436,3.80916,1.681,0.0003208,0.0003208,0.0003208
22,19.0856,2.07878,3.88119,1.69271,0.00333,1,0.995,0.30073,2.15436,3.80916,1.681,0.000332682,0.000332682,0.000332682
23,19.9226,2.2325,3.30811,1.88086,0.00333,1,0.995,0.30004,2.10147,3.62104,1.57646,0.000344168,0.000344168,0.000344168
24,20.7617,1.66994,3.08056,1.39546,0.00333,1,0.995,0.30004,2.10147,3.62104,1.57646,0.000355258,0.000355258,0.000355258
25,21.6245,2.11585,3.20801,1.59449,0.00333,1,0.24875,0.05126,1.95106,3.68253,1.55467,0.000365952,0.000365952,0.000365952
26,22.4421,1.79662,2.87772,1.43753,0.00333,1,0.24875,0.05126,1.95106,3.68253,1.55467,0.00037625,0.00037625,0.00037625
27,23.3366,1.60625,2.38924,1.46419,0.00333,1,0.12437,0.03881,2.22317,3.75536,1.69338,0.000386152,0.000386152,0.000386152
28,24.2052,1.71428,2.5156,1.53481,0.00333,1,0.12437,0.03881,2.22317,3.75536,1.69338,0.000395658,0.000395658,0.000395658
29,25.0575,1.73633,2.55958,1.51408,0.00333,1,0.01686,0.00459,2.37776,4.44882,1.74992,0.000404768,0.000404768,0.000404768
30,25.8778,1.40955,3.41335,1.20599,0.00333,1,0.01686,0.00459,2.37776,4.44882,1.74992,0.000413482,0.000413482,0.000413482
31,26.726,1.60215,2.7826,1.40288,0,0,0,0,2.89521,4.61143,2.09555,0.0004218,0.0004218,0.0004218
32,27.5413,1.57033,2.65467,1.38408,0,0,0,0,2.89521,4.61143,2.09555,0.000429722,0.000429722,0.000429722
